TID,Items,,,,,,,,,,,,,,
1,Apples,Bananas,Mushrooms,Tomatoes,Avocado,Cooking Oil,Fish,Milk,Eggs,Vegetables,Chips,Diapers,Shampoo,Cooking Oil ,Chips
2,Bananas,Potatoes,Corn,BBQ Sauce,Pizza,Ice Cream,Water,Milk,Eggs,Hot-Dog Buns,Lasagna,Chips,Popcorn,Vegetables,Batteries
3,Grapes,Chili pepper,Lentils,Vinegar,Fish,Ice Cream,Coffee,Eggs,Sliced Bread,Rice,Oatmeal,Chips,Bleach,Soap,Pet Food
4,Bacon,Cheese,Pizza,Ice Cream,Water,Coffee,Salt,Mayonaise,Milk,Eggs,Lasagna,Popcorn,Soap,Toothpaste,Toothpaste
5,Apples,Carrots,Poultry,Vegetables,Ice Cream,Coffee,Mustard,Oatmeal,Aluminum Foil,Hair Gel,Fish,Eggs,Salad,Sardines,Coffee
6,Chili Powder,Bleach,Aluminum Foil,Toilet Paper,Tick Repellent,Lasagna,Floss,Tuna,Sardines,Salt,Hot Sauce,Rash Cream,Mustard,Mustard,Coffee
7,Oranges,Mushrooms,Beans,Cooking Oil ,Fish,Ice Cream,Water,Salt,Milk,Tortillas,Oatmeal,Rice,Popcorn,Toothpaste,Napkins
8,Fish,Coffee,BBQ Sauce,Floss,Salt,Eggs,Ice Cream,Lentils,Cooking Oil,Sardines,Toilet Paper,Beans,Grapes,Carrots,Milk
9,Apples,Onions,Peppers,Olive Oil,Flour,Ground Beef,Fish,Coffee,Hot Sauce,"Milk
",Macaroni,Chips,Batteries,Peanut Butter,Napkins
10,Chickpeas,Cooking oil,Beef cuts,Salad,Vegetables,Bagels,Lasagna,Dips,Hot Sauce,Shampoo,Soup,Lotion,Tartar Sauce,Peanut Butter,Vanilla
11,Apples,Beef cuts,Beer,Eggs,BBQ Sauce,Coffee,Oatmeal,Chips,Dips,Water,Shampoo,Detergent,Ham,Shampoo,Bananas
12,Water,Bacon,Cheese,Salt,Eggs,Bananas,Hot Sauce,Chips,Milk,Ice Cream,Batteries,Toothpaste,Fish,Bananas,Shampoo
13,Corn,Bacon,Salt,Cheese,Coffee,Olive Oil,Milk,Hot Sauce,Lotion,Water,Shampoo,Toothpaste,Bleach,Coffee,Apples
14,Mushrooms,Lentils,BBQ Sauce,Sausage,Pizza,Coffee,Tortillas,Rice,Aftershave,Salt,Coffee,Hamburger Patties,Bananas,Apples,Hamburger Patties
15,Bananas,Potatoes,Avocado,Lentils,Poultry,Fish,Water,Juice,Coffee,Eggs,Rice,Honey,Oatmeal,Bananas,Aftershave
16,Poultry,Apples,Maple Syrup,Pancake Mix,Peanut Butter,Jelly,Tea,Milk,Bagels,Toothpaste,Ice Cream,Coffee,Apples,Napkins,Shampoo
17,Avocado,Fish,Bananas,Coffee,Potatoes,Peppers,Onions,Water,Bleach,Chocolates,Celery,Carrots,Spinach,Yogurt,Aftershave
18,Apples,Grapes,Lettuce,Spinach,Peppers,Corn,Chickpeas,Olive Oil,Soy Sauce,BBQ Sauce,Vanilla,Beef Cuts,Cheese,Pizza,Water
19,Apples,Bananas,Potatoes,Poultry,Waffles,Pizza,Water,Milk,Yogurt,Cold Cereal,Cookies,Chips,Crackers,Apples,Bananas
20,Bananas,Corn,Avocado,Tomatoes,Chickpeas,Beans,Poultry,Cheese,Sliced Bread,Coffee,Granola,Bagels,English Muffins,Apples,Shampoo
21,Bananas,Potatoes,Corn,Beef Cuts,Poultry,Pizza,Beer,Cookies,Air Freshener,Pet Food,English Muffins,Peppers,Peppers,Shampoo,Apples
22,Onions,Peppers,Potatoes,Cooking Oil ,Poultry,Hamburger Patties,Yogurt,Eggs,Hamburger Buns,Pita Bread,Rice,Chocolates,Bananas,Apples,Shampoo
23,Bananas,Mushrooms,Lentils,Olive Oil,Water,Eggs,Spaghetti,Chips,Chocolates,Shaving Cream,Pet Food,Pet litter,Apples,Shampoo,Coffee
24,Waffles,Ground Beef,Oranges,Water,Wine,Eggs,Beans,Napkins,Toilet Paper,Hot Sauce,Olive Oil,Pancake Mix,Peppers,Aftershave,Hamburger Patties
25,Oranges,Grapes,Pizza,Tea,Cheese,Pickles,Crackers,Rice,Ketchup,Potatoes,Hamburger Patties,Coffee,Shampoo,Apples,Bananas
26,Apples,Potatoes,Lettuce,Pizza,Wine,Eggs,Beans,Milk,Chocolates,Pet Food,Rice,Chips,Aftershave,Peppers,Apples
27,Corn,Bacon,Salt,Cheese,Coffee,Olive Oil,Milk,Hot Sauce,Lotion,Water,Shampoo,Toothpaste,Bleach,Aftershave,Peppers